Experiment,Models_type,METRIC,SCORES
25,Default,Balan_acc_scores,0.5909090909090909
26,Default,Balan_acc_scores,0.7727272727272727
27,Default,Balan_acc_scores,0.6818181818181819
28,Default,Balan_acc_scores,0.6136363636363636
29,Default,Balan_acc_scores,0.7023809523809523
30,Default,Balan_acc_scores,0.6590909090909092
31,Default,Balan_acc_scores,0.7380952380952381
32,Default,Balan_acc_scores,0.7023809523809523
33,Default,Balan_acc_scores,0.6845238095238095
34,Default,Balan_acc_scores,0.6607142857142857
35,Default,Balan_acc_scores,0.7045454545454546
36,Default,Balan_acc_scores,0.6666666666666666
37,Default,Balan_acc_scores,0.75
38,Default,Balan_acc_scores,0.6845238095238095
39,Default,Balan_acc_scores,0.6590909090909091
40,Default,Balan_acc_scores,0.7023809523809523
41,Default,Balan_acc_scores,0.6190476190476191
42,Default,Balan_acc_scores,0.5773809523809523
43,Default,Balan_acc_scores,0.7272727272727273
44,Default,Balan_acc_scores,0.5892857142857143
45,Default,Balan_acc_scores,0.6428571428571428
46,Default,Balan_acc_scores,0.6904761904761905
47,Default,Balan_acc_scores,0.6136363636363636
48,Default,Balan_acc_scores,0.7023809523809523
49,Default,Balan_acc_scores,0.5773809523809523
50,Default,Balan_acc_scores,0.5714285714285714
1,Tuned,Balan_acc_scores,0.7023809523809523
2,Tuned,Balan_acc_scores,0.6726190476190477
3,Tuned,Balan_acc_scores,0.7202380952380952
4,Tuned,Balan_acc_scores,0.8333333333333333
5,Tuned,Balan_acc_scores,0.7261904761904762
6,Tuned,Balan_acc_scores,0.7083333333333334
7,Tuned,Balan_acc_scores,0.75
8,Tuned,Balan_acc_scores,0.7045454545454546
9,Tuned,Balan_acc_scores,0.5681818181818181
10,Tuned,Balan_acc_scores,0.7142857142857142
11,Tuned,Balan_acc_scores,0.5892857142857143
12,Tuned,Balan_acc_scores,0.6369047619047619
13,Tuned,Balan_acc_scores,0.8095238095238095
14,Tuned,Balan_acc_scores,0.5909090909090909
15,Tuned,Balan_acc_scores,0.6130952380952381
16,Tuned,Balan_acc_scores,0.6130952380952381
17,Tuned,Balan_acc_scores,0.8095238095238095
18,Tuned,Balan_acc_scores,0.7380952380952381
19,Tuned,Balan_acc_scores,0.5714285714285714
20,Tuned,Balan_acc_scores,0.7023809523809523
21,Tuned,Balan_acc_scores,0.7202380952380952
22,Tuned,Balan_acc_scores,0.7559523809523809
23,Tuned,Balan_acc_scores,0.8511904761904762
24,Tuned,Balan_acc_scores,0.7440476190476191
25,Tuned,Balan_acc_scores,0.6590909090909092
26,Tuned,Balan_acc_scores,0.75
27,Tuned,Balan_acc_scores,0.75
28,Tuned,Balan_acc_scores,0.6818181818181819
29,Tuned,Balan_acc_scores,0.6369047619047619
30,Tuned,Balan_acc_scores,0.75
31,Tuned,Balan_acc_scores,0.7678571428571428
32,Tuned,Balan_acc_scores,0.7857142857142857
33,Tuned,Balan_acc_scores,0.7380952380952381
34,Tuned,Balan_acc_scores,0.5773809523809523
35,Tuned,Balan_acc_scores,0.6363636363636364
