0,1,2,3,4,5,6,7,8,9
EL2_score,Provean_score,van_der_waals_mut,Matrix_score,Interactor_template_sequence_identity,Interactor_alignment_score,Model/DOPE_score,Final_ddG,entropy_sidechain_mut,backbone_hbond_mut
Provean_score,Final_ddG,EL2_score,Matrix_score,solvation_polar_mut,Interactor_alignment_score,Interface_contact_distance_mut,backbone_hbond_mut,entropy_mainchain_wt,backbone_clash_mut
Final_ddG,Provean_score,EL2_score,Interactor_alignment_score,Matrix_score,Solvent_accessibility_wt,van_der_waals_mut,Model/DOPE_score,pcv_vdW_self_wt,electrostatics_wt
Provean_score,EL2_score,Interactor_template_sequence_identity,Interactor_alignment_score,Final_ddG,pcv_vdW_self_wt,Matrix_score,Interface_contact_distance_wt,solvation_polar_mut,ProtBert_score
Final_ddG,Provean_score,EL2_score,Matrix_score,Interactor_alignment_score,IntraclashesEnergy1_mut,Interface_contact_distance_wt,entropy_mainchain_wt,Solvent_accessibility_wt,ProteinSolver_score
EL2_score,Provean_score,Final_ddG,Solvent_accessibility_wt,Matrix_score,entropy_mainchain_wt,solvation_hydrophobic_mut,backbone_hbond_mut,van_der_waals_mut,Interactor_template_sequence_identity
Final_ddG,EL2_score,Provean_score,Solvent_accessibility_mut,Interactor_alignment_score,Solvent_accessibility_wt,Model/DOPE_score,pcv_vdW_self_wt,solvation_polar_mut,entropy_sidechain_wt
Matrix_score,Final_ddG,Provean_score,EL2_score,van_der_waals_mut,Interactor_alignment_score,Solvent_accessibility_wt,entropy_mainchain_wt,entropy_sidechain_mut,Model/DOPE_score
EL2_score,Final_ddG,Provean_score,Interactor_alignment_score,ProtBert_score,entropy_sidechain_wt,entropy_mainchain_wt,van_der_waals_wt,van_der_waals_mut,Interface_contact_distance_mut
EL2_score,Solvent_accessibility_mut,Final_ddG,Provean_score,Interface_contact_distance_mut,Solvent_accessibility_wt,van_der_waals_mut,pcv_vdW_wt,entropy_sidechain_mut,electrostatics_wt
EL2_score,Solvent_accessibility_wt,Provean_score,Final_ddG,Interactor_alignment_score,Solvent_accessibility_mut,Interactor_template_sequence_identity,pcv_vdW_self_wt,ProtBert_score,IntraclashesEnergy1_mut
EL2_score,Solvent_accessibility_mut,Solvent_accessibility_wt,solvation_polar_wt,Final_ddG,entropy_sidechain_wt,Provean_score,solvation_polar_mut,Interactor_alignment_score,pcv_vdW_self_wt
Final_ddG,Provean_score,EL2_score,Interactor_alignment_score,van_der_waals_mut,solvation_polar_mut,Matrix_score,Solvent_accessibility_mut,entropy_sidechain_wt,entropy_mainchain_wt
Provean_score,Interactor_alignment_score,EL2_score,Final_ddG,Interactor_template_sequence_identity,Matrix_score,Model/DOPE_score,ProteinSolver_score,electrostatics_mut,Interface_hydrophilic_area
Provean_score,Final_ddG,EL2_score,Matrix_score,van_der_waals_mut,Solvent_accessibility_wt,Interactor_alignment_score,Interactor_template_sequence_identity,van_der_waals_wt,ProtBert_score
Provean_score,EL2_score,Final_ddG,entropy_mainchain_wt,entropy_mainchain_mut,Solvent_accessibility_wt,pcv_vdW_wt,van_der_waals_mut,solvation_polar_mut,electrostatics_mut
EL2_score,Provean_score,Interface_contact_distance_mut,Final_ddG,Solvent_accessibility_mut,ProteinSolver_score,Interface_contact_distance_wt,Interactor_template_sequence_identity,Solvent_accessibility_wt,Interactor_alignment_score
EL2_score,Provean_score,Final_ddG,backbone_clash_mut,Interactor_alignment_score,backbone_clash_wt,Solvent_accessibility_wt,Matrix_score,dg_mut,Interface_hydrophilic_area
